Variable Name,context,Item_content,Responses,Domain,Sub-Domain,min_response,max_response,order
clinic65,,Have you ever been told by a doctor or a health professional that you have HIV or AIDS?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic66,,Are any of your current activities limited by your HIV or AIDS?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic67,,Have you ever been told by a doctor or a health professional that you have a spinal cord injury?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic68,,Are any of your current activities limited by your spinal cord injury?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic69,,How long ago was your spinal cord injury?,5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,,1,5,0.0
clinic70,,What level is your spinal cord injury?,1=Lumbar 2=Thoracic 3=Cervical,clinic,,1,3,0.0
clinic71,,Is your spinal cord injury complete or incomplete?,1=Complete 2=Incomplete,clinic,,1,2,0.0
clinic72,,Have you ever been told by a doctor or a health professional that you have Multiple Sclerosis (MS)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic73,,Are any of your current activities limited by your Multiple Sclerosis (MS)?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic74,,How long ago was your MS diagnosed?,5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,,1,5,0.0
clinic75,,"Compare your overall symptoms now with what you experienced one year ago. Is your MS better, worse or about the same?","1=Better
2=About the same
3=Worse",clinic,,1,3,0.0
clinic76,,"Are you taking disease-modifying drugs for your MS such as Avonex, Betaseron, Copaxone or Rebif?",0=No 1=Yes,clinic,,0,1,0.0
clinic77,,"Have you ever been told by a doctor or a
health professional that you had
Parkinson's Disease?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic78,,"Are any of your current activities limited
by your Parkinson's Disease?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic79,,"How long ago was your Parkinson's
disease diagnosed?
",5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,,1,5,0.0
clinic80,,"Compare your overall symptoms now with
what you experienced one year ago. Is
your Parkinson's disease better, worse or 
about the same?","1=Better
2=About the same
3=Worse",clinic,,1,3,0.0
clinic81,,"Have you ever been told by a doctor or a
health professional that you had epilepsy?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic82,,"Are any of your current activities limited
by your epilepsy?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic83,,"How long ago was your epilepsy
diagnosed?",5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,,1,5,0.0
clinic84,,"Compare your overall symptoms now with
what you experienced one year ago. Is
your epilepsy better, worse or about the
same?","1=Better
2=About the same
3=Worse",clinic,,1,3,0.0
clinic85,,"Have you ever been told by a doctor or a
health professional that you had
Amyotrophic Lateral Sclerosis (ALS) or Lou
Gehrig's disease?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic86,,"Are any of your current activities limited
by your Amyotrophic Lateral Sclerosis
(ALS) or Lou Gehrig's disease?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic87,,How long ago was your ALS diagnosed?,5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,,1,5,0.0
clinic88,,"Compare your overall symptoms now with
what you experienced one year ago. Is
your ALS better, worse or about the same?","1=Better
2=About the same
3=Worse",clinic,,1,3,0.0
clinic89,,Do you have children under 20?,0 = No 1 = Yes,clinic,,0,1,0.0
clinic90,,"Have you ever been told by a doctor or a
health professional that your child had
epilepsy?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic91,,"Are any of your child's current activities
limited by epilepsy?
",0 = No 1 = Yes,clinic,,0,1,0.0
clinic92,,"How long ago was your child's epilepsy
diagnosed?
",5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,,1,5,0.0
clinic93,,"Compare your child's overall symptoms
now with what he/she experienced one
year ago. Is your child's epilepsy better,
worse or about the same?","1=Better
2=About the same
3=Worse",clinic,,1,3,0.0
clinic94,,"Have you ever been told by a doctor or a
health professional that your child had
muscular dystrophy?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic95,,"Are any of your child's current activities
limited by muscular dystrophy?",0 = No 1 = Yes,clinic,,0,1,0.0
clinic96,,"How long ago was your child's muscular
dystrophy diagnosed?",5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,,1,5,0.0
clinic97,,"Compare your child's overall symptoms
now with what he/she experienced one
year ago. Is your child's muscular
dystrophy better, worse or about the
same?",1=Better 2=Worse 3=About the Same,clinic,,1,3,0.0
socio03,,What is your gender?,1=Male 2=Female,social demographic,,1,2,0.0
socio04,,Are you of Spanish/Hispanic/Latino origin?,0=No 1=Yes,social demographic,,0,1,0.0
socio06,,What is your current relationship status?,1=Never Married 2=Married 3=Living with partner in committed relationship 4=Separated 5=Divorced 6=Widowed,social demographic,,1,6,0.0
socio09,,What is your family household income (from all sources)?,"1=Less than $20,000 2=Between $20,000 and $49,999 3=Between $50,000 and $99,999 4=$100,000 or more",social demographic,,1,4,0.0
socio12,,Mobility,1=I have no problems in walking about 2=I have some problems in walking about 3=I am confined to bed,social demographic,,1,3,0.0
socio13,,Self-Care,1=I have no problems with self-care 2=I have some problems with washing or dressing myself 3=I am unable to wash or dress myself,social demographic,,1,3,0.0
socio14,,"Usual Activities <i>(e.g. work, study, housework, family or leisure activities)</i>",1=I have no problems with performing my usual activities 2=I have some problems with performing my usual activities 3=I am unable to perform my usual activities,social demographic,,1,3,0.0
socio15,,Pain/Discomfort,1=I have no pain or discomfort 2=I have moderate pain or discomfort 3=I have extreme pain or discomfort,social demographic,,1,3,0.0
socio16,,Anxiety/Depression,1=I am not anxious or depressed 2=I am moderately anxious or depressed 3=I am extremely anxious or depressed,social demographic,,1,3,0.0
socio17,,"In the past 30 days, have you used or taken medication for which a prescription is needed?  Include only those products prescribed by a health professional such as a doctor or dentist.",0=No 1=Yes .D=Don't Know,social demographic,,0,1,0.0
global01, ,"In general, would you say your health is: ",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,,1,5,0.0
global02, ,"In general, would you say your quality of life is:",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,,1,5,0.0
global03, ,"In general, how would you rate your physical health?",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,,1,5,0.0
global04, ,"In general, how would you rate your mental health, including your mood and your ability to think?",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,,1,5,0.0
global05, ,"In general, how would you rate your satisfaction with your social activities and relationships?",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,,1,5,0.0
global06, ,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?",5=Completely 4=Mostly 3=Moderately 2=A little 1=Not at all,global items,,1,5,0.0
global07,In the past 7 days,How would you rate your pain on average?,0=0 No pain 1=1 2=2 3=3 4=4 5=5 6=6 7=7 8=8 9=9 10=10 Worst pain imaginable,global items,,0,10,0.0
global08,In the past 7 days,How would you rate your fatigue on average?,1=None 2=Mild 3=Moderate 4=Severe 5=Very severe,global items,,1,5,0.0
global09,In the past 7 days,"In general, please rate how well you carry out your usual social activities and roles.  (This includes activities at home, at work and in your community, and responsibilities as a parent, child, spouse, employee, friend, etc.)",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,,1,5,0.0
global10,In the past 7 days,"How often have you been bothered by emotional problems such as feeling anxious, depressed or irritable?",1=Never 2=Rarely 3=Sometimes 4=Often 5=Always,global items,,1,5,0.0
EDALC01,In the past 7 days,I needed to drink to relieve feelings of depression,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC02,In the past 7 days,I felt that I should cut down on my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC03,In the past 7 days,Other people complained about my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC04,In the past 7 days,I had trouble controlling my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC05,In the past 7 days,"After drinking, I had a hangover",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC06,In the past 7 days,"While drinking, I stumbled or staggered",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC07,In the past 7 days,I drank heavily at a single sitting,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC08,In the past 7 days,I had four or more drinks at a single sitting,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC09,In the past 7 days,I gulped alcoholic drinks quickly,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC10,In the past 7 days,"After drinking, I had trouble remembering prior events",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC11,In the past 7 days,It was difficult for me to stop drinking after one or two drinks,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC12,In the past 7 days,I tried to limit my drinking to certain times of the day,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC13,In the past 7 days,I drank too much,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC14,In the past 7 days,I needed to drink to relieve feelings of anger,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC15,In the past 7 days,I felt guilty about my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC16,In the past 7 days,I was criticized because of my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC17,In the past 7 days,I thought I should quit drinking for health reasons,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC18,In the past 7 days,I hid my drinking from others,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC19,In the past 7 days,I needed to drink to relieve feelings of anxiety,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC20,In the past 7 days,I had urges to drink,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC21,In the past 7 days,I had cravings for alcohol,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC22,In the past 7 days,I felt I needed help for my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC23,In the past 7 days,My drinking was a problem,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC24,In the past 7 days,I had trouble stopping my drinking when I wanted to,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC25,In the past 7 days,I drank even after telling myself I would not,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC26,In the past 7 days,I needed to drink more than usual to get the same effect,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC27,In the past 7 days,I drank alcohol,1 = None 2 = 1-2 days 3 = 3-4 days 4 = 5-6 days 5 = Every day,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC28,In the past 7 days,How many drinks did you have in the past 7 days?,1 = None 2 = 1-2 drinks 3 = 3-10 drinks 4 = 11-20 drinks 5 = 21 or more drinks,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC29,In the past 7 days,"After drinking, I had trouble thinking clearly",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC30,In the past 7 days,I kept alcohol close at hand,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC31,In the past 7 days,I got sick from my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC32,In the past 7 days,I drank throughout the day,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC33,In the past 7 days,"Because of my drinking, I neglected my responsibilities",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC34,In the past 7 days,"After waking up, I drank right away",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC35,In the past 7 days,Other people said I should cut down my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC36,In the past 28 days,How many days did you drink in an average week?,1 = None 2 = 1-2 days 3 = 3-4 days 4 = 5-6 days 5 = Every day,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC37,In the past 28 days,How many drinks did you have in an average week?,1 = None 2 = 1-2 drinks 3 = 3-10 drinks 4 = 11-20 drinks 5 = 21 or more drinks,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC38,In the past 28 days,My drinking had a bad effect on my health,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC39,In the past 28 days,"After drinking, I had blackouts (loss of memory without passing out)",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC40,In the past 28 days,I was charged with drunk driving,1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC41,In the past 28 days,I drank so much alcohol at a single sitting that I needed emergency medical care,1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC42,In the past 28 days,I was in a hospital for problems related to my drinking,1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC43,In the past 28 days,"While drinking, I got into physical fights",1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC44,In the past 28 days,"While drinking, I saw things that were not really there",1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC45,In the past 28 days,I spent too much money on alcohol,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC46,In the past 28 days,I attended meetings of Alcoholics Anonymous (AA) or a similar organization,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC47,In the past 28 days,"While drinking, I injured someone",1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC48,In the past 28 days,"I had withdrawal symptoms from alcohol (for example, nausea, shakes, irritability)",1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC49,In the past 28 days,"After drinking, I passed out",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC50,In the past 7 days,My urges to drink interfered with my day-to-day activities,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC51,In the past 7 days,My drinking interfered with my day-to-day activities,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC52,In the past 7 days,Being unable to control my drinking interfered with my day-to-day activities,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC53,In the past 7 days,My drinking was a problem,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC54,In the past 7 days,I cut down on my drinking,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC55,In the past 7 days,I had urges to drink,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDALC56,In the past 7 days,I had trouble controlling my drinking,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items,1,5,0.0
EDANG01,In the past 7 days,"When I was frustrated, I let it show",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
EDANG02,In the past 7 days,I was angry when people were unfair,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
EDANG03,In the past 7 days,I was irritated more than people knew,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
EDANG04,In the past 7 days,I felt envious of others,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
EDANG05,In the past 7 days,I disagreed with people,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
EDANG06,In the past 7 days,I made myself angry about something just by thinking about it,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
EDANG07,In the past 7 days,I tried to get even when I was angry with someone,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
EDANG08,In the past 7 days,"When I got mad, I yelled",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
EDANG09,In the past 7 days,I felt angry,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items,1,5,0.0
