Variable Name,context,Item_content,Responses,Domain,Sub-Domain
clinic61,,What type of sleep disorder was diagnosed? <i>(Please check all that apply)</i>,"1=Insomnia
2=Obstructive sleep apnea
4=Restless Legs Syndrome 
8=Periodic limb movement disorder
16=Delayed sleep phase syndrome
32=Advanced sleep phase syndrome
64=Shift work sleep disorder
128=Narcolepsy
256=Idiopathic hypersomnia
512=Sleep terrors
1024=Sleepwalking
2048=Nightmares
4096=REM sleep behavior disorder",clinic,
clinic62,,Has your sleep disorder been treated?,0=No 1=Yes .D=Not Sure,clinic,
clinic63,,What type of treatment did you receive?  <i>(Please check all that apply)</i>,"1=Medication 2=CPAP, Bilevel pressure 4=Oral appliance 8=Behavioral 16=OTC or non-prescription treatment 32=Other",clinic,
clinic64,,Did the treatment help you?,4=Not at all 3=A little bit 2=Somewhat 1= Quite a bit 0=Very much,clinic,
clinic65,,Have you ever been told by a doctor or a health professional that you have HIV or AIDS?,0 = No 1 = Yes,clinic,
clinic66,,Are any of your current activities limited by your HIV or AIDS?,0 = No 1 = Yes,clinic,
clinic67,,Have you ever been told by a doctor or a health professional that you have a spinal cord injury?,0 = No 1 = Yes,clinic,
clinic68,,Are any of your current activities limited by your spinal cord injury?,0 = No 1 = Yes,clinic,
clinic69,,How long ago was your spinal cord injury?,5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,
clinic70,,What level is your spinal cord injury?,1=Lumbar 2=Thoracic 3=Cervical,clinic,
clinic71,,Is your spinal cord injury complete or incomplete?,1=Complete 2=Incomplete,clinic,
clinic72,,Have you ever been told by a doctor or a health professional that you have Multiple Sclerosis (MS)?,0 = No 1 = Yes,clinic,
clinic73,,Are any of your current activities limited by your Multiple Sclerosis (MS)?,0 = No 1 = Yes,clinic,
clinic74,,How long ago was your MS diagnosed?,5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,
clinic75,,"Compare your overall symptoms now with what you experienced one year ago. Is your MS better, worse or about the same?","1=Better
2=About the same
3=Worse",clinic,
clinic76,,"Are you taking disease-modifying drugs for your MS such as Avonex, Betaseron, Copaxone or Rebif?",0=No 1=Yes,clinic,
clinic77,,"Have you ever been told by a doctor or a
health professional that you had
Parkinson's Disease?",0 = No 1 = Yes,clinic,
clinic78,,"Are any of your current activities limited
by your Parkinson's Disease?",0 = No 1 = Yes,clinic,
clinic79,,"How long ago was your Parkinson's
disease diagnosed?
",5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,
clinic80,,"Compare your overall symptoms now with
what you experienced one year ago. Is
your Parkinson's disease better, worse or 
about the same?","1=Better
2=About the same
3=Worse",clinic,
clinic81,,"Have you ever been told by a doctor or a
health professional that you had epilepsy?",0 = No 1 = Yes,clinic,
clinic82,,"Are any of your current activities limited
by your epilepsy?",0 = No 1 = Yes,clinic,
clinic83,,"How long ago was your epilepsy
diagnosed?",5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,
clinic84,,"Compare your overall symptoms now with
what you experienced one year ago. Is
your epilepsy better, worse or about the
same?","1=Better
2=About the same
3=Worse",clinic,
clinic85,,"Have you ever been told by a doctor or a
health professional that you had
Amyotrophic Lateral Sclerosis (ALS) or Lou
Gehrig's disease?",0 = No 1 = Yes,clinic,
clinic86,,"Are any of your current activities limited
by your Amyotrophic Lateral Sclerosis
(ALS) or Lou Gehrig's disease?",0 = No 1 = Yes,clinic,
clinic87,,How long ago was your ALS diagnosed?,5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,
clinic88,,"Compare your overall symptoms now with
what you experienced one year ago. Is
your ALS better, worse or about the same?","1=Better
2=About the same
3=Worse",clinic,
clinic89,,Do you have children under 20?,0 = No 1 = Yes,clinic,
clinic90,,"Have you ever been told by a doctor or a
health professional that your child had
epilepsy?",0 = No 1 = Yes,clinic,
clinic91,,"Are any of your child's current activities
limited by epilepsy?
",0 = No 1 = Yes,clinic,
clinic92,,"How long ago was your child's epilepsy
diagnosed?
",5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,
clinic93,,"Compare your child's overall symptoms
now with what he/she experienced one
year ago. Is your child's epilepsy better,
worse or about the same?","1=Better
2=About the same
3=Worse",clinic,
clinic94,,"Have you ever been told by a doctor or a
health professional that your child had
muscular dystrophy?",0 = No 1 = Yes,clinic,
clinic95,,"Are any of your child's current activities
limited by muscular dystrophy?",0 = No 1 = Yes,clinic,
clinic96,,"How long ago was your child's muscular
dystrophy diagnosed?",5=Less than two years ago 4=Between two and five years ago 3=Between six and ten years ago 2=Between 11 and 20 years ago 1=More than 20 years ago,clinic,
clinic97,,"Compare your child's overall symptoms
now with what he/she experienced one
year ago. Is your child's muscular
dystrophy better, worse or about the
same?",1=Better 2=Worse 3=About the Same,clinic,
socio01,,What is your telephone area code (where you are currently located)?,textbox=textbox,social demographic,
socio02,,What is your age?,textbox=textbox,social demographic,
socio03,,What is your gender?,1=Male 2=Female,social demographic,
socio04,,Are you of Spanish/Hispanic/Latino origin?,0=No 1=Yes,social demographic,
socio05,,What is your racial or ethnic background? <i>(Please check all that apply)</i>,1=White 2=Black or African-American 4=Asian 8=American Indian/Alaska Native 16=Native Hawaiian/Other Pacific Islander,social demographic,
socio06,,What is your current relationship status?,1=Never Married 2=Married 3=Living with partner in committed relationship 4=Separated 5=Divorced 6=Widowed,social demographic,
socio07,,What is the highest grade in school that you completed?,"1=5th grade or less 2= 6th grade 3=7th grade 4=8th grade 5=Some high school 6=High school grad/GED 7=Some college/Technical degree/AA 8=College degree (BA/BS) 9=Advanced degree (MA, PHD, MD)",social demographic,
socio08,,What is your current occupational status? <i>(Please check all that apply)</i>,1=Homemaker 2=Unemployed 4=Retired 8=On disability 16= On Leave of absence 32=Full-time employed 64=Part-time employed 128=Full-time student,social demographic,
socio09,,What is your family household income (from all sources)?,"1=Less than $20,000 2=Between $20,000 and $49,999 3=Between $50,000 and $99,999 4=$100,000 or more",social demographic,
socio10,,What is your height?,"textbox=Feet/Inches categorized into 43 categories (1=4’ thru 43=7’6”, with 1” increments)",social demographic,
socio11,,What is your weight in pounds?,"textbox=Pounds categorized to nearest category (1=70 thru 87=500, with 5 pound increments)",social demographic,
socio12,,Mobility,1=I have no problems in walking about 2=I have some problems in walking about 3=I am confined to bed,social demographic,
socio13,,Self-Care,1=I have no problems with self-care 2=I have some problems with washing or dressing myself 3=I am unable to wash or dress myself,social demographic,
socio14,,"Usual Activities <i>(e.g. work, study, housework, family or leisure activities)</i>",1=I have no problems with performing my usual activities 2=I have some problems with performing my usual activities 3=I am unable to perform my usual activities,social demographic,
socio15,,Pain/Discomfort,1=I have no pain or discomfort 2=I have moderate pain or discomfort 3=I have extreme pain or discomfort,social demographic,
socio16,,Anxiety/Depression,1=I am not anxious or depressed 2=I am moderately anxious or depressed 3=I am extremely anxious or depressed,social demographic,
socio17,,"In the past 30 days, have you used or taken medication for which a prescription is needed?  Include only those products prescribed by a health professional such as a doctor or dentist.",0=No 1=Yes .D=Don't Know,social demographic,
socio19,,How many different times did you stay in any hospital overnight or longer during the past 12 months?,textbox=textbox,social demographic,
socio20,,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities such as self-care, work, or recreation?",textbox=textbox,social demographic,
global01, ,"In general, would you say your health is: ",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,
global02, ,"In general, would you say your quality of life is:",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,
global03, ,"In general, how would you rate your physical health?",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,
global04, ,"In general, how would you rate your mental health, including your mood and your ability to think?",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,
global05, ,"In general, how would you rate your satisfaction with your social activities and relationships?",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,
global06, ,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?",5=Completely 4=Mostly 3=Moderately 2=A little 1=Not at all,global items,
global07,In the past 7 days,How would you rate your pain on average?,0=0 No pain 1=1 2=2 3=3 4=4 5=5 6=6 7=7 8=8 9=9 10=10 Worst pain imaginable,global items,
global08,In the past 7 days,How would you rate your fatigue on average?,1=None 2=Mild 3=Moderate 4=Severe 5=Very severe,global items,
global09,In the past 7 days,"In general, please rate how well you carry out your usual social activities and roles.  (This includes activities at home, at work and in your community, and responsibilities as a parent, child, spouse, employee, friend, etc.)",5=Excellent 4=Very good 3=Good 2=Fair 1=Poor,global items,
global10,In the past 7 days,"How often have you been bothered by emotional problems such as feeling anxious, depressed or irritable?",1=Never 2=Rarely 3=Sometimes 4=Often 5=Always,global items,
EDALC01,In the past 7 days,I needed to drink to relieve feelings of depression,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC02,In the past 7 days,I felt that I should cut down on my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC03,In the past 7 days,Other people complained about my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC04,In the past 7 days,I had trouble controlling my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC05,In the past 7 days,"After drinking, I had a hangover",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC06,In the past 7 days,"While drinking, I stumbled or staggered",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC07,In the past 7 days,I drank heavily at a single sitting,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC08,In the past 7 days,I had four or more drinks at a single sitting,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC09,In the past 7 days,I gulped alcoholic drinks quickly,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC10,In the past 7 days,"After drinking, I had trouble remembering prior events",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC11,In the past 7 days,It was difficult for me to stop drinking after one or two drinks,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC12,In the past 7 days,I tried to limit my drinking to certain times of the day,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC13,In the past 7 days,I drank too much,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC14,In the past 7 days,I needed to drink to relieve feelings of anger,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC15,In the past 7 days,I felt guilty about my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC16,In the past 7 days,I was criticized because of my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC17,In the past 7 days,I thought I should quit drinking for health reasons,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC18,In the past 7 days,I hid my drinking from others,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC19,In the past 7 days,I needed to drink to relieve feelings of anxiety,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC20,In the past 7 days,I had urges to drink,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC21,In the past 7 days,I had cravings for alcohol,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC22,In the past 7 days,I felt I needed help for my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC23,In the past 7 days,My drinking was a problem,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC24,In the past 7 days,I had trouble stopping my drinking when I wanted to,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC25,In the past 7 days,I drank even after telling myself I would not,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC26,In the past 7 days,I needed to drink more than usual to get the same effect,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC27,In the past 7 days,I drank alcohol,1 = None 2 = 1-2 days 3 = 3-4 days 4 = 5-6 days 5 = Every day,Emotional Distress,Alcohol Abuse Items
EDALC28,In the past 7 days,How many drinks did you have in the past 7 days?,1 = None 2 = 1-2 drinks 3 = 3-10 drinks 4 = 11-20 drinks 5 = 21 or more drinks,Emotional Distress,Alcohol Abuse Items
EDALC29,In the past 7 days,"After drinking, I had trouble thinking clearly",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC30,In the past 7 days,I kept alcohol close at hand,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC31,In the past 7 days,I got sick from my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC32,In the past 7 days,I drank throughout the day,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC33,In the past 7 days,"Because of my drinking, I neglected my responsibilities",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC34,In the past 7 days,"After waking up, I drank right away",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC35,In the past 7 days,Other people said I should cut down my drinking,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC36,In the past 28 days,How many days did you drink in an average week?,1 = None 2 = 1-2 days 3 = 3-4 days 4 = 5-6 days 5 = Every day,Emotional Distress,Alcohol Abuse Items
EDALC37,In the past 28 days,How many drinks did you have in an average week?,1 = None 2 = 1-2 drinks 3 = 3-10 drinks 4 = 11-20 drinks 5 = 21 or more drinks,Emotional Distress,Alcohol Abuse Items
EDALC38,In the past 28 days,My drinking had a bad effect on my health,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items
EDALC39,In the past 28 days,"After drinking, I had blackouts (loss of memory without passing out)",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC40,In the past 28 days,I was charged with drunk driving,1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items
EDALC41,In the past 28 days,I drank so much alcohol at a single sitting that I needed emergency medical care,1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items
EDALC42,In the past 28 days,I was in a hospital for problems related to my drinking,1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items
EDALC43,In the past 28 days,"While drinking, I got into physical fights",1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items
EDALC44,In the past 28 days,"While drinking, I saw things that were not really there",1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items
EDALC45,In the past 28 days,I spent too much money on alcohol,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC46,In the past 28 days,I attended meetings of Alcoholics Anonymous (AA) or a similar organization,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC47,In the past 28 days,"While drinking, I injured someone",1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items
EDALC48,In the past 28 days,"I had withdrawal symptoms from alcohol (for example, nausea, shakes, irritability)",1 = Never 2 = 1 time 3 = 2 times 4 = 3 times 5 = 4 times or more,Emotional Distress,Alcohol Abuse Items
EDALC49,In the past 28 days,"After drinking, I passed out",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Alcohol Abuse Items
EDALC50,In the past 7 days,My urges to drink interfered with my day-to-day activities,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items
EDALC51,In the past 7 days,My drinking interfered with my day-to-day activities,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items
EDALC52,In the past 7 days,Being unable to control my drinking interfered with my day-to-day activities,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items
EDALC53,In the past 7 days,My drinking was a problem,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items
EDALC54,In the past 7 days,I cut down on my drinking,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items
EDALC55,In the past 7 days,I had urges to drink,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items
EDALC56,In the past 7 days,I had trouble controlling my drinking,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Alcohol Abuse Items
EDANG01,In the past 7 days,"When I was frustrated, I let it show",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG02,In the past 7 days,I was angry when people were unfair,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG03,In the past 7 days,I was irritated more than people knew,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG04,In the past 7 days,I felt envious of others,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG05,In the past 7 days,I disagreed with people,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG06,In the past 7 days,I made myself angry about something just by thinking about it,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG07,In the past 7 days,I tried to get even when I was angry with someone,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG08,In the past 7 days,"When I got mad, I yelled",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG09,In the past 7 days,I felt angry,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
EDANG10,In the past 7 days,"When I was mad at someone, I gave them the silent treatment",1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Anger Items
